N,T,N_over_T,sample_condition,lw_condition,sample_hhi,lw_hhi,sample_realized_vol,lw_realized_vol,sample_forecast_error,lw_forecast_error,sample_turnover,lw_turnover,lw_shrinkage,condition_advantage
25,126,0.1984126984126984,65.89339157830526,22.319894980938503,0.214794624563013,0.1208309827682375,0.154275120881961,0.1462876517162503,0.0461162635433341,0.0356273669267331,0.3165993046736004,0.1970580576902765,0.1922241729931142,0.6612726337752038
25,252,0.0992063492063492,43.23153766414536,24.857616749709344,0.1695839833571204,0.1272214662297711,0.1470324187271319,0.1426022052755016,0.0359385162982195,0.0330956417059853,0.150065642862159,0.1130320329907937,0.1095121585148753,0.42501196828061627
25,504,0.0496031746031746,32.096857908512554,24.40866601719361,0.1435809994635338,0.1258510323894768,0.1474958332735658,0.1456463946538162,0.0384729749559875,0.0379520844513402,0.0771199811890583,0.0673274375884458,0.0634025335582854,0.23953098191832425
25,756,0.033068783068783,28.90644762689104,24.039337061597987,0.1352055066632548,0.1239715578948646,0.1502874675048472,0.1494744102523263,0.0423494980198275,0.0421897485356362,0.0533068497909804,0.0488588855503494,0.0465436555713661,0.1683745657064165
50,126,0.3968253968253968,238.2070679902084,54.66026190819151,0.2145266585260516,0.1012771342181215,0.1445833528179848,0.1240168743487629,0.0664043159701685,0.0365406447514882,0.6381706182931006,0.3231165101257914,0.1789297533385352,0.7705346765342902
50,252,0.1984126984126984,110.346606588147,58.65527125724703,0.1420336611539337,0.105321976327194,0.1258132843118393,0.1195765098057831,0.0345693078007516,0.0291320251099147,0.2590678085910494,0.1905169272814162,0.1000488962658949,0.4684451740671149
50,504,0.0992063492063492,74.79496158509741,55.80075060918392,0.1170567864936985,0.1029156489027043,0.123031559321031,0.1209940365317585,0.0291777921393158,0.0286400724831982,0.1290739923921816,0.1114780116223498,0.056500682052651,0.25395040753250425
50,756,0.0661375661375661,64.69071671494729,53.55653335661562,0.1107842476561254,0.1020287186920386,0.1248863006993697,0.1238957683336628,0.0324877572639668,0.0326387361487482,0.089746066700811,0.0820198906212333,0.0406525995291454,0.1721140825722067
100,126,0.7936507936507936,5028.452630174126,137.62372927685394,0.5045310289884926,0.0794785809785917,0.2046770834669935,0.1133603390729495,0.1666339224140684,0.0450428817319754,2.449538838942777,0.5035237516805648,0.1821232169680053,0.9726309981621348
100,252,0.3968253968253968,522.7872685814157,167.68112573784944,0.1523545087825797,0.0880580581187276,0.1250453892777432,0.1111583846250309,0.0561896360422095,0.0350885089320793,0.566853988807375,0.3343645391457375,0.1013822618012813,0.6792555293229452
100,504,0.1984126984126984,277.0556693584899,166.78925054688077,0.1069459930072258,0.0861870979143334,0.115266049140817,0.1116278574490454,0.0326566508567557,0.028836410589615,0.2447942481529349,0.1971925967500151,0.0558597643662527,0.3979937283612573
100,756,0.1322751322751322,228.6653221211609,165.66664596900895,0.0987597170025725,0.0863533736748608,0.1166529443541583,0.1149147726404815,0.0313188458409234,0.0304013466228779,0.1639754236340654,0.1439045177995002,0.0392234868530892,0.275506034617577
150,252,0.5952380952380952,1849.4043120354208,297.6768345413236,0.2155419128191582,0.0827775636535118,0.1388385607907936,0.1087646217735894,0.0879079597728652,0.0444032157596962,1.101600042345301,0.4744231162486499,0.1058652246616976,0.8390417754494657
150,504,0.2976190476190476,567.0820650913398,288.20607220505104,0.113098359797388,0.0808185635174108,0.1126229249695437,0.1071432927473505,0.0404955169195961,0.0325019671654767,0.374311924990119,0.2811969605723742,0.0581204795208462,0.4917736074784348
150,756,0.1984126984126984,419.068193712692,279.9283999481859,0.0972868239917223,0.0802942829979281,0.1127065580502143,0.1103209524455251,0.0336169549605691,0.0309927503063389,0.2412222524514956,0.2053336688506902,0.0406413395103241,0.3320218423923115
